mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8534302711486816,0.02617819657908791,0.039552736282348636,0.004837814508725408,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9199137311286844,0.9197037897488021,0.9219674022789557,0.9228995532497478,0.9226574831396183,0.9214283919091617,0.0013589674766527095,4,0.9958639874089528,0.9958315050460729,0.9958312001755284,0.9956137144528109,0.9961254477666496,0.9958531709700029,0.00016281474198551185
1.6627148628234862,0.056498074227020016,0.08160004615783692,0.009184502640183792,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9200343938091143,0.9202204815781839,0.9242053789731052,0.9237410071942446,0.9232758620689655,0.9222954247247227,0.0017953574104224545,1,0.9959745297518846,0.9959404600811907,0.9959037378392217,0.9956865038748355,0.9961251644977336,0.9959260792089732,0.00014148123149345656
0.7901463985443116,0.01901207613333532,0.04301333427429199,0.019713883687382174,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9199713672154617,0.9185677158533064,0.9226352806085834,0.9220183486238532,0.9200857755539671,0.9206556975710345,0.0014784014129432099,9,0.9813606034232666,0.9822768294008916,0.9815324449594438,0.9817483884985877,0.9817799833375593,0.9817396499239498,0.0003088284586574374
1.5907485961914063,0.12864541192030315,0.07856998443603516,0.011082279555563934,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9209209209209209,0.9182408074981976,0.9254417468754489,0.9248206599713056,0.92169191197485,0.9222232094481446,0.0026436145746094367,2,0.9826560232220609,0.982649328068968,0.982532434587229,0.9826849235673404,0.9826849235673404,0.9826415266025877,5.6460031470654877e-05
0.780922269821167,0.010503903230832225,0.03975114822387695,0.014178290566135295,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9173683459397746,0.916076845298281,0.9206758304696449,0.9252323087919943,0.9189421015010721,0.9196590864001534,0.0031839782300145582,12,0.9692147049292479,0.9703170028818444,0.9688748155877802,0.9693829825508185,0.9685878962536023,0.9692754804406587,0.0005887824217130863
1.4890782833099365,0.023884185653654664,0.06499314308166504,0.009213172127950114,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9174154899443732,0.9164140320485058,0.9227461659739143,0.9248604551309575,0.9203312392918332,0.9203534764779168,0.003168258240086105,11,0.970455935801936,0.9711095100864553,0.9691055739593836,0.9704802361581107,0.9699697537087715,0.9702242019429314,0.0006661977302850536
0.7501205921173095,0.04121139668300272,0.03617100715637207,0.0032711072753510047,,2,5,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9196581196581196,0.9156834532374101,0.9239380022962113,0.9229005445686443,0.92175899486008,0.9207878229240931,0.0029210004149469847,8,0.9662064998561979,0.9671388509383764,0.9655321137188657,0.9659859053645908,0.9658294707340735,0.9661385681224208,0.000546226050102458
1.5094225883483887,0.07761764862346732,0.06771821975708008,0.009996515201934536,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.919396183423526,0.9169186465082794,0.9226139294926913,0.9249713631156931,0.9215182648401826,0.9210836774760744,0.0027509909554186995,6,0.9669278884175714,0.9674264758754584,0.965998130975487,0.9669831678895123,0.9664892852006328,0.9667649896717323,0.0004849302937991787
0.5481172561645508,0.05648637361266953,0.02256937026977539,0.004556724630454396,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9045409813018417,0.9013280022847351,0.9071408410951172,0.9119818285065304,0.9053497942386831,0.9060682894853815,0.003505411221578593,21,0.9145434683017937,0.9163349445550185,0.9160505182721902,0.9151359817741705,0.914071696094168,0.9152273217994683,0.0008620846801293174
1.014046812057495,0.04917078193929767,0.04111466407775879,0.005465538154280495,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9061132288578286,0.9006565800742221,0.9069340488631549,0.9115896854633041,0.9068780073591848,0.9064343101235389,0.0034787859560662876,18,0.9147896302592435,0.9158167797874986,0.9149582920967058,0.9150893142512163,0.9153616173120729,0.9152031267413474,0.00035932323857454645
0.5052795886993409,0.021329652206231627,0.023327445983886717,0.0011298633834210877,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9057510244453865,0.9031334954929174,0.9071053751240958,0.9114245416078984,0.9057406094968108,0.9066310092334218,0.002720395666315395,17,0.9147753425627589,0.9141211194480993,0.9133259950999538,0.9142958244869073,0.9142897940242031,0.9141616151243845,0.00047138181487801244
